Model,Production_Year,Number_of_Engines,Engine_Type,Capacity,Range_km,Fuel_Consumption_Lph,Hourly_Maintenance_Cost,Age,Sales_Region,Price_USD,Cost_Per_Seat,Maintenance_Cost_Per_Seat,Fuel_Efficiency,Range_Efficiency,Aircraft_Size,Age_Category
Bombardier CRJ200,2017,2,Turbofan,50,3000,8.53,3243.04,6,Afrika,20843194.48,416863.8896,64.8608,0.17059999999999997,351.6998827667058,Medium,Mid-Age
Airbus A320,1988,2,Turbofan,180,6300,5.15,4935.43,35,Güney Amerika,87316106.71,485089.4817222222,27.419055555555556,0.02861111111111111,1223.3009708737864,Large,Old
Airbus A350,1985,2,Turbofan,350,14800,11.47,1569.37,38,Asya,400312207.5,1143749.1642857143,4.4839142857142855,0.032771428571428576,1290.3225806451612,Very Large,Old
Boeing 737,1989,2,Turbofan,162,5700,10.22,2155.02,34,Avustralya,67183903.98,414715.45666666667,13.302592592592593,0.06308641975308642,557.7299412915851,Large,Old
Airbus A320,2023,2,Turbofan,180,6300,12.86,906.3,0,Afrika,191050892.95,1061393.8497222222,5.035,0.07144444444444444,489.89113530326597,Large,New
Cessna 172,1984,1,Piston,4,1285,17.46,1943.51,39,Afrika,215830.96,53957.74,485.8775,4.365,73.59679266895762,Small,Old
Airbus A350,2018,2,Turbofan,350,14800,2.22,3549.04,5,Afrika,636428287.19,1818366.5348285716,10.140114285714285,0.006342857142857143,6666.666666666666,Very Large,New
Cessna 172,1996,1,Piston,4,1285,19.06,2804.42,27,Güney Amerika,190999.82,47749.955,701.105,4.765,67.4186778593914,Small,Old
Boeing 737,2023,2,Turbofan,162,5700,7.03,3609.22,0,Avustralya,132930259.08,820557.1548148148,22.279135802469135,0.043395061728395065,810.8108108108108,Large,New
Boeing 737,2023,2,Turbofan,162,5700,3.79,4715.28,0,Güney Amerika,116978442.29,722089.1499382716,29.106666666666666,0.02339506172839506,1503.9577836411609,Large,New
Boeing 777,2021,2,Turbofan,396,15600,13.41,4661.12,2,Kuzey Amerika,738770404.75,1865581.8301767677,11.77050505050505,0.03386363636363637,1163.31096196868,Very Large,New
Boeing 737,1998,2,Turbofan,162,5700,10.58,1660.74,25,Afrika,64903179.49,400636.9104320988,10.251481481481482,0.06530864197530864,538.7523629489604,Large,Old
Airbus A320,2009,2,Turbofan,180,6300,5.14,2883.43,14,Asya,127589373.69,708829.8538333334,16.019055555555553,0.028555555555555553,1225.6809338521402,Large,Mid-Age
Bombardier CRJ200,1996,2,Turbofan,50,3000,13.66,918.96,27,Güney Amerika,12388808.47,247776.1694,18.3792,0.2732,219.61932650073206,Medium,Old
Airbus A320,2012,2,Turbofan,180,6300,6.54,2025.63,11,Asya,131800157.55,732223.0975,11.2535,0.036333333333333336,963.302752293578,Large,Mid-Age
Bombardier CRJ200,1999,2,Turbofan,50,3000,13.66,3766.8,24,Avustralya,12872568.92,257451.3784,75.336,0.2732,219.61932650073206,Medium,Old
Cessna 172,2018,1,Piston,4,1285,13.37,3389.14,5,Avrupa,397989.08,99497.27,847.285,3.3425,96.11069558713538,Small,New
Airbus A320,2003,2,Turbofan,180,6300,13.68,1227.33,20,Avrupa,96788868.97,537715.9387222222,6.818499999999999,0.076,460.5263157894737,Large,Old
Cessna 172,2013,1,Piston,4,1285,16.43,522.78,10,Asya,317496.98,79374.245,130.695,4.1075,78.21059038344492,Small,Mid-Age
Boeing 737,1987,2,Turbofan,162,5700,5.08,3704.81,36,Kuzey Amerika,67626196.15,417445.6552469136,22.8691975308642,0.031358024691358025,1122.0472440944882,Large,Old
Boeing 777,1995,2,Turbofan,396,15600,11.7,1964.3,28,Asya,435882785.22,1100714.1040909092,4.960353535353535,0.029545454545454545,1333.3333333333335,Very Large,Old
Airbus A320,2016,2,Turbofan,180,6300,9.39,3459.26,7,Asya,140344150.66,779689.7258888888,19.218111111111114,0.05216666666666667,670.9265175718849,Large,Mid-Age
Boeing 737,2011,2,Turbofan,162,5700,6.78,921.54,12,Asya,87878634.15,542460.7046296296,5.688518518518518,0.041851851851851855,840.7079646017698,Large,Mid-Age
Bombardier CRJ200,2010,2,Turbofan,50,3000,10.2,4514.21,13,Güney Amerika,17894235.68,357884.7136,90.2842,0.204,294.11764705882354,Medium,Mid-Age
Airbus A320,1996,2,Turbofan,180,6300,8.4,3096.07,27,Güney Amerika,89750866.58,498615.9254444444,17.200388888888888,0.04666666666666667,750.0,Large,Old
Boeing 777,2005,2,Turbofan,396,15600,6.81,4616.89,18,Avustralya,532986648.75,1345925.8806818181,11.658813131313131,0.017196969696969697,2290.748898678414,Very Large,Old
Bombardier CRJ200,2003,2,Turbofan,50,3000,13.09,4836.29,20,Afrika,14384470.91,287689.4182,96.72579999999999,0.2618,229.1825821237586,Medium,Old
Airbus A320,1994,2,Turbofan,180,6300,9.24,1262.72,29,Asya,85071663.75,472620.3541666667,7.0151111111111115,0.051333333333333335,681.8181818181818,Large,Old
Boeing 777,1981,2,Turbofan,396,15600,11.05,4712.7,42,Güney Amerika,362440325.34,915253.3468181818,11.900757575757575,0.027904040404040407,1411.764705882353,Very Large,Old
Airbus A320,1980,2,Turbofan,180,6300,8.74,1130.38,43,Asya,81164502.17,450913.90094444447,6.279888888888889,0.04855555555555556,720.8237986270022,Large,Old
Bombardier CRJ200,2020,2,Turbofan,50,3000,11.13,3636.57,3,Asya,23974036.95,479480.739,72.73140000000001,0.22260000000000002,269.54177897574124,Medium,New
Airbus A320,1984,2,Turbofan,180,6300,5.82,2117.71,39,Asya,82396710.13,457759.5007222222,11.765055555555556,0.03233333333333333,1082.4742268041236,Large,Old
Boeing 777,1984,2,Turbofan,396,15600,13.87,4401.83,39,Güney Amerika,418007942.94,1055575.6134848485,11.115732323232322,0.03502525252525252,1124.729632299928,Very Large,Old
Airbus A320,1997,2,Turbofan,180,6300,8.52,2801.04,26,Avustralya,82834396.57,460191.0920555555,15.561333333333334,0.04733333333333333,739.4366197183099,Large,Old
Airbus A350,1993,2,Turbofan,350,14800,12.35,3658.85,30,Güney Amerika,414595482.47,1184558.5213428573,10.453857142857142,0.03528571428571428,1198.3805668016196,Very Large,Old
Airbus A320,2016,2,Turbofan,180,6300,6.39,4505.02,7,Güney Amerika,124364472.6,690913.7366666666,25.027888888888892,0.0355,985.9154929577466,Large,Mid-Age
Airbus A350,1995,2,Turbofan,350,14800,2.47,3102.26,28,Afrika,363499352.52,1038569.5786285714,8.8636,0.007057142857142857,5991.902834008097,Very Large,Old
Airbus A350,1992,2,Turbofan,350,14800,9.05,2595.19,31,Asya,397867099.22,1136763.1406285716,7.414828571428572,0.02585714285714286,1635.3591160220992,Very Large,Old
Boeing 737,2022,2,Turbofan,162,5700,2.49,637.25,1,Afrika,104321929.88,643962.5301234567,3.933641975308642,0.015370370370370371,2289.1566265060237,Large,New
Boeing 777,2007,2,Turbofan,396,15600,6.68,4201.7,16,Afrika,544185572.19,1374205.990378788,10.610353535353536,0.016868686868686866,2335.3293413173656,Very Large,Old
Airbus A350,1983,2,Turbofan,350,14800,4.81,3964.97,40,Avustralya,332190283.64,949115.0961142856,11.328485714285714,0.013742857142857142,3076.923076923077,Very Large,Old
Bombardier CRJ200,2021,2,Turbofan,50,3000,3.11,3303.01,2,Asya,23289653.75,465793.075,66.06020000000001,0.0622,964.6302250803859,Medium,New
Boeing 737,2005,2,Turbofan,162,5700,10.29,2932.86,18,Avustralya,75935599.5,468738.26851851854,18.104074074074074,0.06351851851851852,553.9358600583091,Large,Old
Boeing 777,1986,2,Turbofan,396,15600,14.69,3767.41,37,Avrupa,317065019.03,800669.2399747474,9.513661616161615,0.03709595959595959,1061.9469026548672,Very Large,Old
Airbus A320,1992,2,Turbofan,180,6300,5.52,4078.34,31,Güney Amerika,79821921.86,443455.12144444446,22.657444444444444,0.030666666666666665,1141.304347826087,Large,Old
Airbus A350,1988,2,Turbofan,350,14800,3.02,2475.37,35,Afrika,391118009.63,1117480.0275142856,7.072485714285714,0.008628571428571428,4900.662251655629,Very Large,Old
Airbus A320,1997,2,Turbofan,180,6300,4.25,2340.29,26,Afrika,85144981.29,473027.67383333336,13.00161111111111,0.02361111111111111,1482.3529411764705,Large,Old
Airbus A320,1984,2,Turbofan,180,6300,5.25,1203.97,39,Afrika,92195099.49,512194.9971666666,6.688722222222222,0.029166666666666667,1200.0,Large,Old
Cessna 172,1986,1,Piston,4,1285,21.2,3470.89,37,Asya,222355.92,55588.98,867.7225,5.3,60.613207547169814,Small,Old
Bombardier CRJ200,2014,2,Turbofan,50,3000,11.59,4796.89,9,Asya,24005505.92,480110.11840000004,95.93780000000001,0.2318,258.84383088869714,Medium,Mid-Age
Boeing 737,1995,2,Turbofan,162,5700,5.22,2388.2,28,Avrupa,70011721.15,432171.1182098766,14.741975308641974,0.03222222222222222,1091.9540229885058,Large,Old
Airbus A350,2011,2,Turbofan,350,14800,11.85,2101.88,12,Afrika,591037757.01,1688679.305742857,6.005371428571429,0.033857142857142856,1248.945147679325,Very Large,Mid-Age
Airbus A320,2005,2,Turbofan,180,6300,3.27,2633.78,18,Asya,108071613.81,600397.8545,14.632111111111112,0.018166666666666668,1926.605504587156,Large,Old
Airbus A320,2004,2,Turbofan,180,6300,8.16,2712.27,19,Asya,94713313.58,526185.0754444444,15.068166666666666,0.04533333333333334,772.0588235294117,Large,Old
Airbus A350,1996,2,Turbofan,350,14800,10.01,2293.27,27,Afrika,325859473.29,931027.0665428572,6.5522,0.0286,1478.5214785214785,Very Large,Old
Boeing 777,2007,2,Turbofan,396,15600,2.59,3357.92,16,Avustralya,618640959.87,1562224.6461363637,8.47959595959596,0.00654040404040404,6023.1660231660235,Very Large,Old
Bombardier CRJ200,2015,2,Turbofan,50,3000,13.13,2764.11,8,Avustralya,17373210.04,347464.2008,55.2822,0.2626,228.48438690022846,Medium,Mid-Age
Bombardier CRJ200,2011,2,Turbofan,50,3000,4.12,3464.12,12,Avrupa,18719354.17,374387.08340000006,69.2824,0.0824,728.1553398058252,Medium,Mid-Age
Airbus A320,1998,2,Turbofan,180,6300,9.62,619.3,25,Avrupa,73657499.53,409208.3307222222,3.440555555555555,0.05344444444444444,654.885654885655,Large,Old
Boeing 737,2017,2,Turbofan,162,5700,9.48,4731.04,6,Avustralya,129403197.62,798785.1704938272,29.20395061728395,0.05851851851851852,601.2658227848101,Large,Mid-Age
Boeing 777,1983,2,Turbofan,396,15600,7.02,4736.59,40,Asya,408752497.16,1032203.2756565657,11.961085858585859,0.017727272727272727,2222.222222222222,Very Large,Old
Cessna 172,2010,1,Piston,4,1285,22.76,820.35,13,Güney Amerika,296583.45,74145.8625,205.0875,5.69,56.45869947275922,Small,Mid-Age
Cessna 172,1990,1,Piston,4,1285,10.93,4301.94,33,Asya,201106.59,50276.6475,1075.485,2.7325,117.56633119853615,Small,Old
Boeing 737,2018,2,Turbofan,162,5700,13.41,3330.24,5,Asya,123512626.17,762423.6183333333,20.557037037037034,0.08277777777777778,425.0559284116331,Large,New
Bombardier CRJ200,1995,2,Turbofan,50,3000,4.31,1769.16,28,Afrika,12835276.83,256705.5366,35.3832,0.0862,696.0556844547565,Medium,Old
Boeing 737,2016,2,Turbofan,162,5700,12.49,3877.77,7,Avrupa,108922584.58,672361.6332098765,23.936851851851852,0.07709876543209877,456.3650920736589,Large,Mid-Age
Bombardier CRJ200,2017,2,Turbofan,50,3000,11.81,3878.92,6,Güney Amerika,23587120.57,471742.4114,77.5784,0.23620000000000002,254.0220152413209,Medium,Mid-Age
Airbus A320,2022,2,Turbofan,180,6300,13.64,1940.22,1,Avustralya,153909858.26,855054.768111111,10.779,0.07577777777777778,461.8768328445748,Large,New
Boeing 777,1995,2,Turbofan,396,15600,2.14,2251.41,28,Kuzey Amerika,410469031.78,1036537.959040404,5.685378787878787,0.005404040404040404,7289.719626168224,Very Large,Old
Airbus A350,1988,2,Turbofan,350,14800,9.45,4777.73,35,Avustralya,367471059.35,1049917.3124285715,13.650657142857142,0.027,1566.1375661375662,Very Large,Old
Bombardier CRJ200,1999,2,Turbofan,50,3000,7.83,3343.27,24,Afrika,11294643.37,225892.8674,66.8654,0.1566,383.1417624521073,Medium,Old
Boeing 777,1984,2,Turbofan,396,15600,11.78,3526.33,39,Asya,349306992.0,882088.3636363636,8.904873737373737,0.029747474747474745,1324.2784380305604,Very Large,Old
Airbus A350,2019,2,Turbofan,350,14800,12.27,4062.11,4,Güney Amerika,684223379.69,1954923.9419714287,11.606028571428572,0.035057142857142856,1206.193969030155,Very Large,New
Boeing 737,1984,2,Turbofan,162,5700,9.14,759.01,39,Güney Amerika,57765773.43,356578.8483333333,4.685246913580247,0.056419753086419756,623.63238512035,Large,Old
Airbus A320,2012,2,Turbofan,180,6300,13.54,2486.89,11,Kuzey Amerika,112151806.73,623065.5929444445,13.816055555555554,0.07522222222222222,465.28803545051704,Large,Mid-Age
Airbus A320,2002,2,Turbofan,180,6300,11.9,1143.46,21,Asya,87977234.14,488762.4118888889,6.352555555555556,0.0661111111111111,529.4117647058823,Large,Old
Airbus A320,2003,2,Turbofan,180,6300,3.31,3281.98,20,Kuzey Amerika,96336514.65,535202.8591666667,18.23322222222222,0.01838888888888889,1903.3232628398791,Large,Old
Airbus A320,2008,2,Turbofan,180,6300,12.68,827.43,15,Güney Amerika,104143760.26,578576.4458888889,4.596833333333333,0.07044444444444445,496.8454258675079,Large,Mid-Age
Bombardier CRJ200,1999,2,Turbofan,50,3000,3.06,3678.09,24,Güney Amerika,10739495.68,214789.9136,73.5618,0.061200000000000004,980.3921568627451,Medium,Old
Bombardier CRJ200,2013,2,Turbofan,50,3000,14.31,4157.6,10,Asya,16600779.99,332015.5998,83.152,0.2862,209.64360587002096,Medium,Mid-Age
Bombardier CRJ200,2015,2,Turbofan,50,3000,11.79,4937.0,8,Kuzey Amerika,18828564.05,376571.281,98.74,0.23579999999999998,254.4529262086514,Medium,Mid-Age
Bombardier CRJ200,1986,2,Turbofan,50,3000,9.26,3997.16,37,Avrupa,11817262.56,236345.2512,79.94319999999999,0.1852,323.97408207343415,Medium,Old
Boeing 777,1987,2,Turbofan,396,15600,13.78,2409.0,36,Asya,396824752.08,1002082.7072727273,6.083333333333333,0.03479797979797979,1132.0754716981132,Very Large,Old
Bombardier CRJ200,2015,2,Turbofan,50,3000,8.09,551.09,8,Avrupa,18252268.93,365045.3786,11.0218,0.1618,370.8281829419036,Medium,Mid-Age
Boeing 777,1998,2,Turbofan,396,15600,3.54,753.36,25,Güney Amerika,410411470.34,1036392.6018686868,1.9024242424242424,0.00893939393939394,4406.779661016949,Very Large,Old
Airbus A320,2001,2,Turbofan,180,6300,9.58,3857.2,22,Avrupa,80504029.77,447244.6098333333,21.42888888888889,0.05322222222222222,657.6200417536535,Large,Old
Bombardier CRJ200,2020,2,Turbofan,50,3000,6.87,4829.78,3,Kuzey Amerika,24267695.88,485353.9176,96.59559999999999,0.1374,436.68122270742356,Medium,New
Boeing 737,1985,2,Turbofan,162,5700,14.61,554.7,38,Avustralya,64881809.73,400504.9983333333,3.4240740740740745,0.09018518518518519,390.14373716632446,Large,Old
Airbus A350,1997,2,Turbofan,350,14800,9.2,832.08,26,Asya,372785335.86,1065100.9596,2.3773714285714287,0.026285714285714284,1608.6956521739132,Very Large,Old
Boeing 737,2001,2,Turbofan,162,5700,8.8,4861.86,22,Avrupa,81388879.52,502400.4908641975,30.01148148148148,0.054320987654320994,647.7272727272726,Large,Old
Bombardier CRJ200,1996,2,Turbofan,50,3000,10.16,2545.43,27,Avrupa,13233319.52,264666.3904,50.9086,0.2032,295.2755905511811,Medium,Old
Bombardier CRJ200,2008,2,Turbofan,50,3000,13.72,3129.41,15,Güney Amerika,20606861.86,412137.2372,62.5882,0.27440000000000003,218.65889212827986,Medium,Mid-Age
Bombardier CRJ200,2007,2,Turbofan,50,3000,4.45,1748.22,16,Güney Amerika,15094612.56,301892.2512,34.9644,0.08900000000000001,674.1573033707865,Medium,Old
Boeing 737,1987,2,Turbofan,162,5700,6.59,2586.64,36,Asya,58642290.01,361989.44450617285,15.966913580246914,0.040679012345679014,864.9468892261002,Large,Old
Bombardier CRJ200,1989,2,Turbofan,50,3000,14.82,4884.78,34,Güney Amerika,12256600.5,245132.01,97.6956,0.2964,202.42914979757086,Medium,Old
Boeing 737,2003,2,Turbofan,162,5700,8.97,3641.73,20,Güney Amerika,83389306.25,514748.8040123457,22.479814814814816,0.055370370370370375,635.4515050167223,Large,Old
Cessna 172,1989,1,Piston,4,1285,16.5,3581.29,34,Afrika,201372.89,50343.2225,895.3225,4.125,77.87878787878788,Small,Old
Airbus A320,1982,2,Turbofan,180,6300,12.69,4599.17,41,Kuzey Amerika,68015390.37,377863.27983333333,25.550944444444443,0.0705,496.45390070921985,Large,Old
Boeing 777,1982,2,Turbofan,396,15600,13.26,4697.28,41,Kuzey Amerika,470396084.13,1187868.899318182,11.861818181818181,0.033484848484848485,1176.4705882352941,Very Large,Old
Airbus A320,2023,2,Turbofan,180,6300,2.34,703.48,0,Avrupa,175206086.08,973367.1448888889,3.9082222222222223,0.013,2692.3076923076924,Large,New
Bombardier CRJ200,1986,2,Turbofan,50,3000,3.96,4942.74,37,Kuzey Amerika,11508470.4,230169.408,98.8548,0.07919999999999999,757.5757575757576,Medium,Old
Bombardier CRJ200,1989,2,Turbofan,50,3000,5.55,2366.69,34,Avrupa,13569663.2,271393.26399999997,47.333800000000004,0.111,540.5405405405405,Medium,Old
Airbus A320,1991,2,Turbofan,180,6300,13.24,753.69,32,Afrika,78401940.08,435566.3337777778,4.187166666666667,0.07355555555555555,475.8308157099698,Large,Old
Boeing 737,1991,2,Turbofan,162,5700,14.28,3960.44,32,Avustralya,63757862.56,393567.0528395062,24.447160493827162,0.08814814814814814,399.15966386554624,Large,Old
Boeing 777,2006,2,Turbofan,396,15600,5.22,4323.41,17,Avustralya,468777225.26,1183780.8718686868,10.91770202020202,0.013181818181818182,2988.5057471264367,Very Large,Old
Bombardier CRJ200,1995,2,Turbofan,50,3000,9.88,4793.23,28,Kuzey Amerika,11903076.77,238061.5354,95.8646,0.19760000000000003,303.64372469635623,Medium,Old
Airbus A320,1986,2,Turbofan,180,6300,10.73,1528.89,37,Afrika,66339400.96,368552.2275555556,8.493833333333335,0.059611111111111115,587.1388630009319,Large,Old
Boeing 737,2010,2,Turbofan,162,5700,10.73,1011.01,13,Avrupa,105920383.92,653829.5303703704,6.240802469135803,0.06623456790123457,531.2208760484623,Large,Mid-Age
Airbus A320,2009,2,Turbofan,180,6300,12.04,2841.38,14,Kuzey Amerika,126146769.08,700815.3837777778,15.785444444444446,0.06688888888888889,523.2558139534884,Large,Mid-Age
Boeing 777,1994,2,Turbofan,396,15600,9.29,2983.58,29,Avrupa,400265205.19,1010770.7201767677,7.5342929292929295,0.023459595959595958,1679.2249730893436,Very Large,Old
Boeing 737,2022,2,Turbofan,162,5700,7.25,4444.94,1,Avrupa,132408315.54,817335.2811111112,27.4379012345679,0.044753086419753084,786.2068965517242,Large,New
Airbus A350,2001,2,Turbofan,350,14800,4.77,3668.36,22,Kuzey Amerika,474065660.46,1354473.3155999999,10.481028571428572,0.013628571428571427,3102.7253668763105,Very Large,Old
Boeing 737,1997,2,Turbofan,162,5700,2.19,1113.67,26,Kuzey Amerika,70176457.69,433188.01043209876,6.8745061728395065,0.013518518518518518,2602.7397260273974,Large,Old
Bombardier CRJ200,2012,2,Turbofan,50,3000,7.69,2265.1,11,Afrika,15524062.43,310481.2486,45.302,0.15380000000000002,390.11703511053315,Medium,Mid-Age
Bombardier CRJ200,2014,2,Turbofan,50,3000,6.53,4568.71,9,Kuzey Amerika,22778117.67,455562.3534,91.3742,0.1306,459.4180704441041,Medium,Mid-Age
Boeing 737,1987,2,Turbofan,162,5700,10.09,2284.44,36,Kuzey Amerika,63929928.44,394629.18790123455,14.101481481481482,0.06228395061728395,564.9157581764123,Large,Old
Airbus A320,2017,2,Turbofan,180,6300,14.34,4380.64,6,Kuzey Amerika,114422880.74,635682.6707777778,24.33688888888889,0.07966666666666666,439.3305439330544,Large,Mid-Age
Boeing 737,1986,2,Turbofan,162,5700,14.74,2566.11,37,Güney Amerika,63107220.83,389550.7458641975,15.840185185185186,0.09098765432098765,386.70284938941654,Large,Old
Airbus A350,2002,2,Turbofan,350,14800,6.27,2716.78,21,Avustralya,375548779.82,1072996.5137714285,7.762228571428572,0.017914285714285712,2360.446570972887,Very Large,Old
Boeing 777,2007,2,Turbofan,396,15600,3.68,841.38,16,Güney Amerika,576919744.89,1456868.0426515152,2.1246969696969695,0.009292929292929294,4239.130434782608,Very Large,Old
Cessna 172,1987,1,Piston,4,1285,16.08,1076.21,36,Afrika,221535.66,55383.915,269.0525,4.02,79.9129353233831,Small,Old
Cessna 172,1992,1,Piston,4,1285,23.83,1318.46,31,Kuzey Amerika,193616.04,48404.01,329.615,5.9575,53.923625681913556,Small,Old
